model,keypad,row,physical_key,access,prefix_color,function,description,keyboard_printed_page,keyboard_pdf_page,function_printed_pages,function_pdf_pages,manual_pdf
HP-45,,1,FIX,shift,s,SCI,Scientific-notation display mode; follow with digit for places,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,1,[gold shift key],none,,[gold shift key],,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,2,x²,none,,x²,Square of X,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,2,x²,shift,s,√x,Square root of X,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,2,→P,none,,→P,"Converts rectangular coordinates (x,y) to polar (r,θ)",10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,2,→P,shift,s,→R,"Converts polar coordinates (r,θ) to rectangular (x,y)",10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,2,SIN,none,,SIN,Sine of X in the current angle mode,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,2,SIN,shift,s,SIN⁻¹,"Arc sine, result in current angle mode",10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,2,COS,none,,COS,Cosine of X in the current angle mode,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,2,COS,shift,s,COS⁻¹,"Arc cosine, result in current angle mode",10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,2,TAN,none,,TAN,Tangent of X in the current angle mode,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,2,TAN,shift,s,TAN⁻¹,"Arc tangent, result in current angle mode",10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,3,x⇄y,none,,x⇄y,Exchanges X and Y,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,3,x⇄y,shift,s,n!,Factorial of X (integers 0–69),10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,3,R↓,none,,R↓,Rolls the stack down one position,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,3,R↓,shift,s,"x̄,s",Computes mean and standard deviation of accumulated data,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,3,STO,none,,STO,Stores X into register Rn (n = 1–9),10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,3,STO,shift,s,→D.MS,Converts decimal degrees to degrees-minutes-seconds,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,3,RCL,none,,RCL,Recalls Rn (n = 1–9) into X,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,3,RCL,shift,s,D.MS→,Converts degrees-minutes-seconds back to decimal degrees,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,3,%,none,,%,Computes X percent of Y,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,3,%,shift,s,Δ%,Percent difference between Y and X,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,4,ENTER↑,none,,ENTER↑,Terminates entry and lifts X into the stack,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,4,ENTER↑,shift,s,DEG,Sets decimal-degrees angle mode,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,4,CHS,none,,CHS,Changes sign of mantissa or exponent,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,4,CHS,shift,s,RAD,Sets radians angle mode,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,4,EEX,none,,EEX,Enter exponent for scientific-notation entry,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,4,EEX,shift,s,GRD,Sets grads angle mode,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,4,CLx,none,,CLx,Clears the X register only,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,4,CLx,shift,s,CLEAR,Clears the entire stack and all storage/summation registers,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,5,−,none,,−,Subtracts X from Y,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,5,−,shift,s,7→cm/in,,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,5,7,none,,7,digit 7,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,5,7,shift,s,8→kg/lb,,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,5,8,none,,8,digit 8,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,5,8,shift,s,9→ltr/gal,,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,5,9,none,,9,digit 9,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,6,+,none,,+,Adds Y to X,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,6,4,none,,4,digit 4,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,6,5,none,,5,digit 5,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,6,6,none,,6,digit 6,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,7,×,none,,×,Multiplies Y by X,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,7,1,none,,1,digit 1,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,7,2,none,,2,digit 2,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,7,3,none,,3,digit 3,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,8,÷,none,,÷,Divides Y by X,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,8,÷,shift,s,0→LAST x,,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,8,0,none,,0,digit 0,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,8,Σ+,none,,Σ+,Accumulates X (and Y) into the summation registers,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-65,,1,A,none,,A,,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,1,A,f,gold,1/x,Reciprocal of X,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,1,B,none,,B,,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,1,B,f,gold,√x,Square root of X,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,1,C,none,,C,,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,1,C,f,gold,y^x,Raises Y to the power of X,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,1,D,none,,D,,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,1,D,f,gold,R↓,Rolls the stack down one position,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,1,E,none,,E,,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,1,E,f,gold,x⇄y,Exchanges X and Y,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,2,DSP,none,,DSP,"Sets display format; DSP · n = fixed to n places, DSP n = scientific",4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,2,DSP,g,blue,x≠y,Skips two steps unless X ≠ Y,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,2,GTO,none,,GTO,Branches the program pointer to a label,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,2,GTO,g,blue,x≤y,Skips two steps unless X ≤ Y,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,2,LBL,none,,LBL,Marks a program/routine label (followed by A–E or 0–9),4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,2,LBL,g,blue,x=y,Skips two steps unless X = Y,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,2,RTN,none,,RTN,Returns from a subroutine; ends/stops a program,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,2,RTN,g,blue,x>y,Skips two steps unless X > Y,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,2,SST,none,,SST,Single-steps through program memory,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,3,f,none,,f,Gold prefix — selects the gold function above a key,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,3,f⁻¹,none,,f⁻¹,Gold prefix — selects the inverse of that gold function,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,3,STO,none,,STO,Stores X into addressable register Rn (n = 1–9),4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,3,RCL,none,,RCL,Recalls Rn (n = 1–9) into X,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,3,g,none,,g,Blue prefix — selects the blue function below a key,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,4,ENTER↑,none,,ENTER↑,Terminates entry and lifts X into the stack,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,4,ENTER↑,f,gold,PREFIX,Cancels an unwanted pending prefix key,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,4,ENTER↑,g,blue,DEG,Sets decimal-degrees angle mode,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,4,CHS,none,,CHS,Changes sign of mantissa or exponent,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,4,CHS,f,gold,CLEAR STK,Clears all four stack registers,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,4,CHS,g,blue,RAD,Sets radians angle mode,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,4,EEX,none,,EEX,Enter exponent for scientific-notation entry,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,4,EEX,f,gold,CLEAR REG,Clears all nine addressable registers,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,4,EEX,g,blue,GRD,Sets grads angle mode,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,4,CLX,none,,CLX,Clears the X register only,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,4,CLX,f,gold,CLEAR PRGM,Clears the 100-step program memory (W/PRGM mode),4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,4,CLX,g,blue,DEL,Deletes the current program step (W/PRGM mode),4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,5,−,none,,−,Subtracts X from Y,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,5,−,f,gold,SF 1,Sets flag 1 (f⁻¹ lowers it),4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,5,7,none,,7,digit 7,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,5,7,f,gold,LN,Natural (base-e) logarithm of X,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,5,7,g,blue,x⇄y,Exchanges X and Y,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,5,8,none,,8,digit 8,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,5,8,f,gold,LOG,Common (base-10) logarithm of X,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,5,8,g,blue,R↓,Rolls the stack down one position,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,5,9,none,,9,digit 9,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,5,9,f,gold,√x,Square root of X,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,5,9,g,blue,R↑,Rolls the stack up one position,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,6,+,none,,+,Adds Y to X,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,6,+,f,gold,TF 1,Tests flag 1 — skips two steps if the test fails,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,6,4,none,,4,digit 4,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,6,4,f,gold,SIN,Sine of X in current angle mode,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,6,4,g,blue,1/x,Reciprocal of X,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,6,5,none,,5,digit 5,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,6,5,f,gold,COS,Cosine of X in current angle mode,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,6,5,g,blue,y^x,Raises Y to the power of X,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,6,6,none,,6,digit 6,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,6,6,f,gold,TAN,Tangent of X in current angle mode,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,6,6,g,blue,ABS,Absolute value of X,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,7,×,none,,×,Multiplies Y by X,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,7,×,f,gold,SF 2,Sets flag 2 (f⁻¹ lowers it),4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,7,1,none,,1,digit 1,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,7,1,f,gold,R→P,"Converts rectangular coordinates (x,y) to polar (r,θ)",4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,7,1,g,blue,NOP,No operation (placeholder step),4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,7,2,none,,2,digit 2,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,7,2,f,gold,D.MS+,Adds two angles in degrees.minutes-seconds format,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,7,2,g,blue,π,Enters the constant pi,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,7,3,none,,3,digit 3,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,7,3,f,gold,→D.MS,Converts a decimal angle to degrees.minutes-seconds,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,7,3,g,blue,n!,Factorial of X (non-negative integer),4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,8,÷,none,,÷,Divides Y by X,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,8,÷,f,gold,TF 2,Tests flag 2 — skips two steps if the test fails,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,8,0,none,,0,digit 0,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,8,0,f,gold,→OCT,Converts a decimal integer to octal (base 8),4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,8,0,g,blue,LST X,Recalls the argument saved before the last operation,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,8,·,none,,·,decimal point,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,8,·,f,gold,INT,Truncates X to its signed integer part,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,8,·,g,blue,DSZ,Decrements R8 and skips two steps when it reaches zero,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-65,,8,R/S,none,,R/S,Runs or stops program execution,4,7,27–100,31–104,hp/manuals/HP-65.pdf
HP-25,,1,SST,none,,SST,single-step forward through program memory,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,1,SST,f,gold,FIX,fixed-point display; follow with digit for decimal places,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,1,BST,none,,BST,step back through program memory,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,1,BST,f,gold,SCI,scientific-notation display; follow with digit,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,1,GTO,none,,GTO,position the program to a given step number,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,1,GTO,f,gold,ENG,engineering-notation display; follow with digit,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,1,f,none,,f,gold prefix; selects the gold function above a key,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,1,g,none,,g,blue prefix; selects the blue function on a key's face,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,2,x⇄y,none,,x⇄y,exchange the X and Y registers,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,2,x⇄y,f,gold,x̄ (mean),,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,2,x⇄y,g,blue,% (percent),,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,2,R↓,none,,R↓,roll the stack contents downward,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,2,R↓,f,gold,s (std dev),,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,2,R↓,g,blue,1/x,reciprocal of X,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,2,STO,none,,STO,store X into register 0–7; also register arithmetic,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,2,RCL,none,,RCL,recall register 0–7 into X,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,2,Σ+,none,,Σ+,accumulate X and Y into the statistics registers,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,2,Σ+,f,gold,Σ−,remove X and Y from the statistics registers,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,3,ENTER↑,none,,ENTER↑,copy X into Y to separate two numbers,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,3,ENTER↑,f,gold,PREFIX,"cancel a partially keyed prefix (f, g, STO, RCL, GTO)",5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,3,CHS,none,,CHS,change sign of the number or its exponent,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,3,CHS,f,gold,PRGM,clear program memory,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,3,CHS,g,blue,DEG,set degrees mode for trigonometry,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,3,EEX,none,,EEX,begin entering a power-of-ten exponent,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,3,EEX,f,gold,REG,clear all storage registers to zero,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,3,EEX,g,blue,RAD,set radians mode for trigonometry,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,3,CLX,none,,CLX,clear the displayed X-register to zero,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,3,CLX,f,gold,STK,clear all four stack registers to zero,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,3,CLX,g,blue,GRD,set grads mode for trigonometry,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,4,−,none,,−,subtract,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,4,−,f,gold,x<y,do next step only if X < Y,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,4,−,g,blue,x<0,do next step only if X < 0,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,4,7,none,,7,digit 7,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,4,7,f,gold,ln,natural logarithm (base e),5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,4,7,g,blue,e^x,natural antilogarithm (e raised to X),5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,4,8,none,,8,digit 8,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,4,8,f,gold,log,common logarithm (base 10),5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,4,8,g,blue,10^x,common antilogarithm (10 raised to X),5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,4,9,none,,9,digit 9,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,4,9,f,gold,→R,"polar magnitude/angle to rectangular X,Y coordinates",5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,4,9,g,blue,→P,"rectangular X,Y to polar magnitude and angle",5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,5,+,none,,+,add,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,5,+,f,gold,x≥y,do next step only if X ≥ Y,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,5,+,g,blue,x≥0,do next step only if X ≥ 0,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,5,4,none,,4,digit 4,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,5,4,f,gold,sin,sine of X,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,5,4,g,blue,sin⁻¹,arc sine of X,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,5,5,none,,5,digit 5,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,5,5,f,gold,cos,cosine of X,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,5,5,g,blue,cos⁻¹,arc cosine of X,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,5,6,none,,6,digit 6,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,5,6,f,gold,tan,tangent of X,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,5,6,g,blue,tan⁻¹,arc tangent of X,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,6,×,none,,×,multiply,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,6,×,f,gold,x≠y,do next step only if X ≠ Y,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,6,×,g,blue,x≠0,do next step only if X ≠ 0,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,6,1,none,,1,digit 1,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
HP-25,,6,1,f,gold,INT,keep only the integer part of X,5–6; p009,,5–6,,hp/manuals/HP-25.pdf
